symbol,name,pivot_forming,pivot_days,pivot_range_pct,tight_closes,pivot_high,in_base,base_type,resistance,distance_pct,buy_point_date,volume_at_pivot,trend_template_score,rs_ratio,quality_score,buyable
RAPT,,True,10,0.48,True,57.99,True,Darvas box,57.99,0.02,,below,8,4.76,97.54,True
FOLD,,True,10,0.49,True,14.37,True,Cup completion cheat,14.38,0.07,,below,8,1.77,97.34,True
DBRG,,True,10,0.71,True,15.46,True,Cup w/ handle,15.47,0.13,,below,8,1.29,96.06,True
EXAS,,True,10,0.69,True,103.67,True,Darvas box,103.67,0.28,,below,8,2.07,95.71,True
PKST,,True,10,0.93,True,20.88,True,Darvas box,20.97,0.52,,below,8,1.56,93.79,True
AAUC,,True,10,2.02,True,31.66,True,Darvas box,32.08,1.37,,below,8,2.15,85.79,True
GLDD,,True,10,0.71,True,16.97,True,Darvas box,16.99,0.24,,above,8,1.34,85.73,True
AZN,,True,10,4.05,True,210.52,True,Darvas box,210.52,0.98,,below,8,1.24,76.81,True
FER,,True,10,5.2,True,74.79,True,Darvas box,74.79,0.55,,below,8,1.28,72.35,True
SU,,True,10,4.97,True,57.13,True,Darvas box,57.13,1.07,,below,8,1.28,71.94,True
HAL,,True,8,5.53,True,36.19,True,Darvas box,36.19,0.53,,below,8,1.52,70.76,True
PSMT,,True,10,4.89,True,157.12,True,Darvas box,157.16,1.62,,below,8,1.35,70.69,True
JNJ,,True,10,3.99,True,248.94,True,Darvas box,248.94,0.2,,above,8,1.35,69.45,True
VLO,,True,10,5.54,True,205.99,True,Darvas box,206.77,1.03,,below,8,1.29,69.21,True
LMT,,True,10,5.33,True,669.75,True,Darvas box,669.75,1.74,,below,8,1.38,68.13,True
CAH,,True,10,5.99,True,230.2,True,Darvas box,230.81,0.68,,below,8,1.45,68.01,True
TATT,,True,3,5.22,True,56.5,True,Darvas box,56.5,2.0,,below,8,1.38,67.9,True
ALMS,,True,3,4.7,True,30.03,True,Power Play,30.6,2.97,,below,8,5.94,67.59,True
PH,,True,10,5.02,True,1034.96,True,Darvas box,1034.96,2.49,,below,8,1.25,67.43,True
TKR,,True,10,5.13,True,110.51,True,Darvas box,111.03,2.39,,below,8,1.31,67.18,True
AU,,True,3,6.3,True,128.54,True,Darvas box,128.54,0.6,,below,8,2.2,66.7,True
JCI,,True,10,5.88,True,146.49,True,Darvas box,146.49,1.49,,below,8,1.25,66.13,True
XOM,,True,10,5.53,True,153.65,True,Darvas box,155.89,2.18,,below,8,1.29,65.81,True
RBC,,True,10,6.25,True,581.87,True,Darvas box,581.87,1.02,,below,8,1.36,65.69,True
VAL,,True,4,6.54,True,97.37,True,Power Play,96.4,0.57,,below,8,1.84,65.59,True
NEOG,,True,10,6.04,True,11.43,True,Darvas box,11.43,1.75,,below,8,1.84,64.55,True
ADEA,,True,3,6.31,True,21.07,True,Darvas box,21.07,1.8,,below,8,1.26,63.05,True
AIR,,True,10,6.37,True,119.24,True,Darvas box,119.24,1.74,,below,8,1.45,62.93,True
CASY,,True,10,5.17,True,690.0,True,Darvas box,690.0,0.64,,above,8,1.3,62.23,True
AXIA,,True,6,5.52,True,12.31,True,Cup completion cheat,12.12,0.33,,above,8,1.43,61.41,True
TIMB,,True,10,7.18,True,27.56,True,Darvas box,27.74,0.94,,below,8,1.2,61.28,True
NVS,,True,10,5.11,True,170.46,True,Darvas box,170.46,1.08,,above,8,1.25,61.21,True
GVA,,True,10,6.59,True,137.24,True,Darvas box,137.24,2.03,,below,8,1.15,60.96,True
NGG,,True,10,5.31,True,94.64,True,Darvas box,94.64,0.92,,above,8,1.26,60.69,True
SLB,,True,10,6.67,True,52.33,True,Darvas box,52.4,2.02,,below,8,1.35,60.59,True
ELVN,,True,3,6.86,True,30.04,True,Darvas box,30.22,1.75,,below,8,1.37,60.45,True
TDY,,True,10,7.05,True,691.87,True,Darvas box,691.87,1.56,,below,8,1.18,60.07,True
HBM,,True,3,5.15,True,28.53,True,Darvas box,28.74,1.43,,above,8,2.26,59.96,True
SNEX,,True,10,6.42,True,131.0,True,Darvas box,131.0,2.67,,below,8,1.19,59.89,True
WAB,,True,10,5.56,True,266.27,True,Darvas box,266.27,0.87,,above,8,1.28,59.59,True
